bootstrap,AFL_f1_12lead,AFL_f1_II_V1,delta
241,0.8936170212765957,0.8951747088186356,0.0015576875420398872
242,0.891846921797005,0.893542757417103,0.0016958356200980074
243,0.9076682316118936,0.922824302134647,0.015156070522753362
244,0.8856209150326797,0.9015544041450777,0.015933489112398003
245,0.8814691151919867,0.9126559714795008,0.031186856287514164
246,0.891156462585034,0.8822495606326889,-0.008906901952345114
247,0.893542757417103,0.9048473967684022,0.011304639351299217
248,0.899505766062603,0.919931856899489,0.020426090836885957
249,0.9006622516556292,0.9185441941074524,0.017881942451823174
250,0.8980891719745223,0.8933333333333333,-0.004755838641189003
251,0.9026845637583892,0.8963093145869947,-0.006375249171394537
252,0.8881578947368421,0.9143835616438356,0.02622566690699346
253,0.8581560283687943,0.8830188679245283,0.024862839555733984
254,0.9133858267716536,0.9129032258064517,-0.0004826009652019181
255,0.8737541528239202,0.9311594202898551,0.057405267465934884
256,0.8602150537634409,0.8913857677902621,0.031170714026821256
257,0.8836424957841484,0.8942807625649913,0.010638266780842898
258,0.8849270664505673,0.889261744966443,0.004334678515875656
259,0.8878048780487805,0.9087837837837838,0.020978905735003273
260,0.8861911987860395,0.9041533546325878,0.017962155846548367
261,0.8707482993197279,0.9,0.029251700680272164
262,0.8990536277602523,0.9168081494057725,0.01775452164552016
263,0.8760330578512396,0.8736842105263158,-0.0023488473249237973
264,0.8964401294498382,0.912751677852349,0.01631154840251081
265,0.8945578231292517,0.9097345132743363,0.015176690145084604
266,0.9056,0.9045226130653267,-0.0010773869346732967
267,0.8881578947368421,0.903114186851211,0.014956292114368885
268,0.9041533546325878,0.9144736842105263,0.010320329577938492
269,0.8767605633802817,0.8892988929889298,0.012538329608648091
270,0.8719723183391004,0.8981132075471698,0.02614088920806945
271,0.9096774193548387,0.9033333333333333,-0.00634408602150538
272,0.9216589861751152,0.9043760129659644,-0.017282973209150843
273,0.9110764430577223,0.9102990033222591,-0.0007774397354631812
274,0.8780487804878049,0.8972602739726028,0.019211493484797892
275,0.8874172185430463,0.9113475177304965,0.023930299187450155
276,0.8874172185430463,0.896551724137931,0.009134505594884712
277,0.8962108731466227,0.8888888888888888,-0.007321984257733893
278,0.8853615520282186,0.8884826325411335,0.00312108051291482
279,0.863481228668942,0.8961748633879781,0.03269363471903619
280,0.8791946308724832,0.8586387434554974,-0.020555887416985774
281,0.8697123519458545,0.87569573283859,0.005983380892735535
282,0.9082125603864735,0.9050847457627119,-0.003127814623761549
283,0.9071207430340558,0.9147540983606557,0.007633355326599922
284,0.8819672131147541,0.902027027027027,0.02005981391227285
285,0.8957654723127035,0.9016949152542373,0.005929442941533747
286,0.901453957996769,0.889267461669506,-0.012186496327262986
287,0.8655172413793103,0.8833034111310593,0.01778616975174896
288,0.8950617283950617,0.9147540983606557,0.01969236996559398
289,0.8866328257191202,0.887719298245614,0.0010864725264938535
290,0.8903436988543372,0.9109243697478991,0.02058067089356197
291,0.9074733096085409,0.8851851851851852,-0.022288124423355704
292,0.8948247078464107,0.9074733096085409,0.01264860176213023
293,0.9054726368159204,0.9209621993127147,0.01548956249679434
294,0.8957055214723927,0.9102362204724409,0.01453069900004822
295,0.8936170212765957,0.8939130434782608,0.00029602220166513593
296,0.8924558587479936,0.8941176470588236,0.0016617883108299702
297,0.8950819672131147,0.9165247018739353,0.021442734660820584
298,0.8966666666666666,0.9094076655052264,0.012740998838559836
299,0.8896103896103896,0.8950086058519794,0.0053982162415897594
300,0.9008403361344538,0.896551724137931,-0.004288611996522751
301,0.8663282571912013,0.9136690647482014,0.0473408075570001
302,0.8711256117455138,0.889267461669506,0.018141849923992148
303,0.9211356466876972,0.9058441558441559,-0.015291490843541311
304,0.8941176470588236,0.8948306595365418,0.0007130124777182667
305,0.8655172413793103,0.8909774436090225,0.025460202229712237
306,0.8946515397082658,0.9010238907849829,0.0063723510767170755
307,0.907051282051282,0.9308600337268128,0.02380875167553076
308,0.8885400313971743,0.8922056384742952,0.003665607077120936
309,0.8760907504363001,0.8909426987060998,0.01485194826979963
310,0.8896103896103896,0.9134125636672326,0.02380217405684293
311,0.9060955518945635,0.9084628670120898,0.002367315117526303
312,0.896774193548387,0.9137931034482759,0.017018909899888857
313,0.9131121642969984,0.9081967213114754,-0.004915442985522933
314,0.9214175654853621,0.9096671949286846,-0.011750370556677492
315,0.9066666666666666,0.9043478260869565,-0.002318840579710102
316,0.8907563025210085,0.8916518650088809,0.000895562487872481
317,0.8817567567567568,0.9139784946236559,0.03222173786689908
318,0.8758389261744967,0.8983957219251337,0.02255679575063707
319,0.8973143759873617,0.891846921797005,-0.005467454190356769
320,0.8949919224555735,0.9186440677966101,0.023652145341036657
321,0.8829113924050633,0.9210084033613445,0.03809701095628115
322,0.8957264957264958,0.9020979020979021,0.0063714063714063185
323,0.8963210702341137,0.9075342465753424,0.011213176341228759
324,0.8874388254486134,0.8805704099821747,-0.006868415466438682
325,0.88107202680067,0.8745519713261649,-0.006520055474505071
326,0.8977635782747604,0.9284525790349417,0.03068900076018133
327,0.8840336134453781,0.9119718309859155,0.02793821754053738
328,0.8925619834710744,0.9027777777777778,0.010215794306703385
329,0.8862876254180602,0.9173989455184535,0.031111320100393303
330,0.9129720853858785,0.8996655518394648,-0.013306533546413646
331,0.8733333333333333,0.8807017543859649,0.00736842105263158
332,0.872852233676976,0.8809946714031972,0.008142437726221252
333,0.8932038834951457,0.9153713298791019,0.02216744638395618
334,0.8808290155440415,0.916058394160584,0.03522937861654252
