model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.0310523289246693,0.758893280632411,0.31425592,ROC,ours_full,Ours,,
Ours,0.0312440099674142,0.758893280632411,0.31389752,ROC,ours_full,Ours,,
Ours,0.0312440099674142,0.7595520421607378,0.31380764,ROC,ours_full,Ours,,
Ours,0.0331608203948629,0.7595520421607378,0.30833226,ROC,ours_full,Ours,,
Ours,0.0331608203948629,0.7608695652173914,0.30692148,ROC,ours_full,Ours,,
Ours,0.0383362085489745,0.7608695652173914,0.2963742,ROC,ours_full,Ours,,
Ours,0.0383362085489745,0.761528326745718,0.29617274,ROC,ours_full,Ours,,
Ours,0.0394862948054437,0.761528326745718,0.2944741,ROC,ours_full,Ours,,
Ours,0.0394862948054437,0.7621870882740448,0.29436854,ROC,ours_full,Ours,,
Ours,0.0502204331991566,0.7621870882740448,0.2714455,ROC,ours_full,Ours,,
Ours,0.0502204331991566,0.7628458498023716,0.269731,ROC,ours_full,Ours,,
Ours,0.055587502396013,0.7628458498023716,0.25862283,ROC,ours_full,Ours,,
Ours,0.055587502396013,0.7635046113306982,0.2578733,ROC,ours_full,Ours,,
Ours,0.0559708644815027,0.7635046113306982,0.2569558,ROC,ours_full,Ours,,
Ours,0.0559708644815027,0.764163372859025,0.25663245,ROC,ours_full,Ours,,
Ours,0.0569292696952271,0.764163372859025,0.2531025,ROC,ours_full,Ours,,
Ours,0.0569292696952271,0.7648221343873518,0.25285417,ROC,ours_full,Ours,,
Ours,0.0686218133026643,0.7648221343873518,0.22255613,ROC,ours_full,Ours,,
Ours,0.0686218133026643,0.7654808959156785,0.22213683,ROC,ours_full,Ours,,
Ours,0.073605520414031,0.7654808959156785,0.21468307,ROC,ours_full,Ours,,
Ours,0.073605520414031,0.7661396574440053,0.21427268,ROC,ours_full,Ours,,
Ours,0.07513896875599,0.7661396574440053,0.21207069,ROC,ours_full,Ours,,
Ours,0.07513896875599,0.766798418972332,0.21172664,ROC,ours_full,Ours,,
Ours,0.0753306497987349,0.766798418972332,0.21158963,ROC,ours_full,Ours,,
Ours,0.0753306497987349,0.7674571805006588,0.21145333,ROC,ours_full,Ours,,
Ours,0.0772474602261836,0.7674571805006588,0.20580752,ROC,ours_full,Ours,,
Ours,0.0772474602261836,0.7681159420289855,0.20475824,ROC,ours_full,Ours,,
Ours,0.0845313398504887,0.7681159420289855,0.18342897,ROC,ours_full,Ours,,
Ours,0.0845313398504887,0.7687747035573123,0.18292198,ROC,ours_full,Ours,,
Ours,0.0860647881924477,0.7687747035573123,0.17638023,ROC,ours_full,Ours,,
Ours,0.0860647881924477,0.769433465085639,0.17555024,ROC,ours_full,Ours,,
Ours,0.0908568142610695,0.769433465085639,0.14443126,ROC,ours_full,Ours,,
Ours,0.0908568142610695,0.7700922266139657,0.14351317,ROC,ours_full,Ours,,
Ours,0.0927736246885183,0.7700922266139657,0.12737447,ROC,ours_full,Ours,,
Ours,0.0927736246885183,0.7707509881422925,0.12576832,ROC,ours_full,Ours,,
Ours,0.1031244009967414,0.7707509881422925,0.087976545,ROC,ours_full,Ours,,
Ours,0.1031244009967414,0.7720685111989459,0.08737343,ROC,ours_full,Ours,,
Ours,0.1081081081081081,0.7720685111989459,0.07619457,ROC,ours_full,Ours,,
Ours,0.1081081081081081,0.7727272727272727,0.075943045,ROC,ours_full,Ours,,
Ours,0.1230592294422081,0.7727272727272727,0.050643854,ROC,ours_full,Ours,,
Ours,0.1230592294422081,0.7733860342555995,0.05034987,ROC,ours_full,Ours,,
Ours,0.1245926777841671,0.7733860342555995,0.048434872,ROC,ours_full,Ours,,
Ours,0.1245926777841671,0.7740447957839263,0.04835393,ROC,ours_full,Ours,,
Ours,0.1268928502971056,0.7740447957839263,0.045418456,ROC,ours_full,Ours,,
