threshold,afl_precision,afl_recall,afl_f1,macro_f1,accuracy
0.4257575757575757,0.9594827586206889,0.7332015810276675,0.8312173263624657,0.8946672250791807,0.9328878990348923
0.4307070707070707,0.9593777009507339,0.7312252964426873,0.8299065420555832,0.8938786994671295,0.9324424647364514
0.43565656565656563,0.9601040763226358,0.7292490118577071,0.8289030325715792,0.893292149678016,0.9321455085374907
0.4406060606060606,0.9598253275109163,0.7239789196310931,0.8253849042428438,0.891178618495314,0.9309576837416481
0.44555555555555554,0.9604569420035142,0.7200263504611326,0.8230421686742084,0.8897899950087014,0.9302152932442465
0.4505050505050505,0.9610619469026541,0.7154150197628454,0.8202416918424105,0.888128607887815,0.9293244246473645
0.45545454545454545,0.9609929078014177,0.7140974967061919,0.8193499622066154,0.8875944193888445,0.9290274684484039
0.46040404040404037,0.9616755793226374,0.7108036890645582,0.8174242424237529,0.8864591202887602,0.9284335560504825
0.46535353535353535,0.9622302158273374,0.7048748353096175,0.8136882129272679,0.8842426304491182,0.9272457312546399
0.4703030303030303,0.9630297565374203,0.703557312252964,0.8130947849252824,0.8839060570391097,0.9270972531551596
0.47525252525252526,0.9655172413793095,0.700922266139657,0.8122137404575274,0.8834340591690999,0.9269487750556793
0.4802020202020202,0.9680073126142588,0.6976284584980234,0.8108728943333565,0.882688243077771,0.9266518188567187
0.4851515151515151,0.9688073394495405,0.695652173913043,0.8098159509197582,0.8820760844639894,0.926354862657758
0.4901010101010101,0.968605724838411,0.6910408432147559,0.8066128412144308,0.8801672173688904,0.9253155159613957
0.495050505050505,0.9693593314763223,0.6877470355731221,0.8046242774561612,0.8790017939007375,0.9247216035634744
0.5,0.96913002806361,0.6824769433465081,0.8009277155000941,0.8768031024438487,0.9235337787676318
0.5049494949494949,0.9688972667294996,0.6772068511198942,0.7972082202399184,0.8745934591239661,0.9223459539717892
0.5098989898989899,0.9697542533081277,0.6758893280632406,0.7965838509311923,0.874241989721392,0.9221974758723088
0.5148484848484849,0.9695528068506176,0.6712779973649535,0.7933047878547125,0.8722968302178469,0.9211581291759465
0.5197979797979798,0.9702780441035466,0.6666666666666663,0.790316282701586,0.8705454362451589,0.9202672605790646
0.5247474747474747,0.9709864603481616,0.6613965744400523,0.7868338557988904,0.8685039401729966,0.9192279138827023
0.5296969696969697,0.9717624148003886,0.6574440052700918,0.7842829076616005,0.8670155957074714,0.9184855233853007
0.5346464646464646,0.9715686274509794,0.6528326745718046,0.7809298660357676,0.8650350025387978,0.9174461766889384
0.5395959595959596,0.9733464955577483,0.6495388669301709,0.7791386803630119,0.8640185585746525,0.9170007423904974
0.5445454545454546,0.9751491053677922,0.6462450592885371,0.7773375594289968,0.8629973015491985,0.9165553080920564
0.5494949494949495,0.9758793969849237,0.6396574440052697,0.7727815360122547,0.8603343657064673,0.9152190051967335
0.5544444444444444,0.9766260162601615,0.6330698287220022,0.7681854516382113,0.8576521714794466,0.9138827023014106
0.5593939393939393,0.9775051124744366,0.6297760210803686,0.7660256410251638,0.8564044735108158,0.9132887899034893
0.5643434343434344,0.9784394250513336,0.6277997364953883,0.7648475120380465,0.8557340128966529,0.9129918337045286
0.5692929292929293,0.979253112033194,0.6218708827404476,0.760676873488646,0.8533089500317833,0.911804008908686
0.5742424242424242,0.9790356394129969,0.6152832674571801,0.7556634304202372,0.85037217711252,0.9103192279138828
0.5791919191919191,0.9788359788359777,0.6093544137022394,0.7511165245630669,0.8477123460466471,0.9089829250185598
0.5841414141414141,0.9786324786324776,0.6034255599472987,0.7465362673181909,0.8450364706237471,0.9076466221232368
0.5890909090909091,0.9795918367346929,0.6007905138339917,0.7447937933845833,0.8440419379773474,0.9072011878247959
0.594040404040404,0.9804347826086945,0.5942028985507243,0.7399507793268469,0.8412407993808451,0.9058648849294729
0.598989898989899,0.9802847754654973,0.589591567852437,0.7363225010279136,0.8391278235733456,0.9048255382331106
0.6039393939393939,0.9800221975582675,0.5816864295125161,0.7300537412149102,0.8354820330364285,0.9030438010393467
0.6088888888888889,0.9797297297297286,0.5731225296442685,0.7231920199496583,0.831498396092199,0.9011135857461025
0.6138383838383838,0.9795918367346927,0.569169960474308,0.7199999999995345,0.8296476964769648,0.9002227171492205
0.6187878787878788,0.9793814432989679,0.5632411067193672,0.715181932245458,0.826857145381017,0.8988864142538976
0.6237373737373737,0.980392156862744,0.5599472990777336,0.7127882599576079,0.8254965205969877,0.8982925018559762
0.6286868686868686,0.9802095459837008,0.5546772068511195,0.7084560370209934,0.8229921039700265,0.8971046770601336
0.6336363636363637,0.9823113207547158,0.5487483530961789,0.704142011833859,0.820550833006497,0.8960653303637713
0.6385858585858586,0.982206405693949,0.5454545454545451,0.7013977128330854,0.8189678275212824,0.8953229398663697
0.6435353535353535,0.9820143884892074,0.5395256916996044,0.6964285714281131,0.8161041939711664,0.8939866369710467
0.6484848484848484,0.9819277108433723,0.5368906455862974,0.694207836456101,0.8148255510281355,0.8933927245731255
0.6534343434343434,0.9817739975698652,0.5322793148880102,0.6903032891921962,0.8125790864149983,0.8923533778767632
0.6583838383838384,0.9815724815724803,0.5263504611330695,0.6852487135501453,0.8096740964053953,0.8910170749814402
0.6633333333333333,0.9814356435643552,0.522397891963109,0.6818572656917213,0.8077269099458724,0.8901262063845583
0.6682828282828283,0.9824561403508759,0.5164690382081684,0.6770293609667326,0.8049841084914819,0.8889383815887156
0.6732323232323232,0.982300884955751,0.5118577075098811,0.6730186227799734,0.8026861772624458,0.8878990348923533
0.6781818181818181,0.9834183673469374,0.5079051383399207,0.6698523023453365,0.8009003632072771,0.8871566443949518
0.6831313131313131,0.9833333333333321,0.5052700922266137,0.6675369886853647,0.7995758699247186,0.8865627319970304
0.6880808080808081,0.9844760672703738,0.5013175230566532,0.664338716717143,0.7977745108769096,0.8858203414996288
0.693030303030303,0.9869281045751621,0.4973649538866927,0.6614104248790983,0.7961561823155209,0.8852264291017075
0.6979797979797979,0.9868247694334638,0.49341238471673227,0.657883179621865,0.7941430550126203,0.8843355605048255
0.702929292929293,0.9867724867724854,0.491436100131752,0.6561125769564596,0.7931331016260048,0.8838901262063845
0.7078787878787879,0.9866131191432382,0.4855072463768113,0.6507726269311246,0.7900895709401254,0.8825538233110616
0.7128282828282828,0.9865410497981144,0.4828722002635043,0.6483856700570548,0.7887302603120029,0.8819599109131403
0.7177777777777777,0.9864498644986436,0.4795783926218706,0.645390070921545,0.787025336869946,0.8812175204157386
